Region,School,Student Number,Class Year,Highest Composite,Highest English,Highest Mathematics,Highest Reading,Highest Science,Number Exams Taken
South Region,IDEA College Prep South 3,10129,2024,16,15,16,17,16,5
South Region,IDEA College Prep South 3,10130,2024,15,13,16,15,17,5
South Region,IDEA College Prep South 3,10131,2024,18,18,16,21,18,5
South Region,IDEA College Prep South 3,10132,2024,18,21,19,18,23,5
South Region,IDEA College Prep South 3,10133,2024,23,28,22,24,24,6
South Region,IDEA College Prep South 3,10134,2024,20,22,17,23,21,7
South Region,IDEA College Prep South 3,10135,2024,14,14,15,14,14,4
South Region,IDEA College Prep South 3,10136,2024,0,12,0,2,16,2
South Region,IDEA College Prep South 3,10137,2024,20,21,16,25,23,6
South Region,IDEA College Prep South 3,10138,2024,20,19,18,24,23,6
South Region,IDEA College Prep South 3,10139,2024,15,15,16,14,15,5
South Region,IDEA College Prep South 3,10140,2024,25,24,25,31,24,7
South Region,IDEA College Prep South 3,10141,2024,17,18,17,17,19,6
South Region,IDEA College Prep South 3,10142,2024,17,15,16,17,19,6
South Region,IDEA College Prep South 3,10143,2024,18,17,16,20,18,5
South Region,IDEA College Prep South 3,10144,2024,17,16,18,16,21,5
South Region,IDEA College Prep South 3,10145,2024,21,22,17,26,18,5
South Region,IDEA College Prep South 3,10146,2024,17,18,17,18,18,6
South Region,IDEA College Prep South 3,10147,2024,15,16,17,12,16,4
South Region,IDEA College Prep South 3,10148,2024,20,20,19,20,21,7
South Region,IDEA College Prep South 3,10149,2024,14,15,15,15,15,4
South Region,IDEA College Prep South 3,10150,2024,14,20,15,14,14,5
South Region,IDEA College Prep South 3,10151,2024,18,19,17,20,18,4
South Region,IDEA College Prep South 3,10152,2024,19,22,16,19,19,6
South Region,IDEA College Prep South 3,10153,2024,22,22,20,25,22,6
South Region,IDEA College Prep South 3,10154,2024,18,19,20,22,21,5
South Region,IDEA College Prep South 3,10155,2024,23,22,24,22,23,5
South Region,IDEA College Prep South 3,10156,2024,27,34,26,30,24,6
South Region,IDEA College Prep South 3,10157,2024,28,35,23,34,25,5
South Region,IDEA College Prep South 3,10158,2024,18,15,19,19,20,6
South Region,IDEA College Prep South 3,10159,2024,19,20,16,20,22,4
South Region,IDEA College Prep South 3,10160,2024,19,17,18,20,23,6
South Region,IDEA College Prep South 3,10161,2024,18,16,17,19,22,6
South Region,IDEA College Prep South 3,10162,2024,15,14,16,15,17,6
South Region,IDEA College Prep South 3,10163,2024,20,20,21,24,20,6
South Region,IDEA College Prep South 3,10164,2024,21,25,18,24,20,6
South Region,IDEA College Prep South 3,10165,2024,16,18,16,16,17,7
South Region,IDEA College Prep South 3,10166,2024,16,16,17,18,16,5
South Region,IDEA College Prep South 3,10167,2024,19,20,18,22,22,5
South Region,IDEA College Prep South 3,10168,2024,14,12,15,15,18,5
South Region,IDEA College Prep South 3,10169,2024,24,21,25,25,24,6
South Region,IDEA College Prep South 3,10170,2024,21,19,26,23,22,7
South Region,IDEA College Prep South 3,10171,2024,14,13,16,16,16,7
South Region,IDEA College Prep South 3,10172,2024,21,19,22,22,21,6
South Region,IDEA College Prep South 3,10173,2024,14,13,15,13,16,5
South Region,IDEA College Prep South 3,10174,2024,19,22,17,18,18,7
South Region,IDEA College Prep South 3,10175,2024,13,13,16,14,16,5
South Region,IDEA College Prep South 3,10176,2024,20,16,22,19,23,5
South Region,IDEA College Prep South 3,10177,2024,21,20,21,24,23,6
South Region,IDEA College Prep South 3,10178,2024,14,13,16,13,19,4
South Region,IDEA College Prep South 3,10179,2024,18,17,15,24,16,5
South Region,IDEA College Prep South 3,10180,2024,16,14,15,17,16,5
South Region,IDEA College Prep South 3,10181,2024,24,31,21,26,25,7
South Region,IDEA College Prep South 3,10182,2024,12,11,15,14,12,5
South Region,IDEA College Prep South 3,10183,2024,19,21,18,17,20,5
South Region,IDEA College Prep South 3,10184,2024,27,34,21,35,28,6
South Region,IDEA College Prep South 3,10185,2024,18,18,18,24,20,6
South Region,IDEA College Prep South 3,10186,2024,14,15,16,14,15,4
South Region,IDEA College Prep South 3,10187,2024,16,15,18,18,17,6
South Region,IDEA College Prep South 3,10188,2024,22,28,20,22,22,6
South Region,IDEA College Prep South 3,10189,2024,19,19,18,23,19,5
South Region,IDEA College Prep South 3,10190,2024,23,21,25,27,19,5
South Region,IDEA College Prep South 3,10191,2024,16,14,16,18,18,6
South Region,IDEA College Prep South 3,10192,2024,16,16,17,16,18,5
South Region,IDEA College Prep South 3,10193,2024,14,13,14,14,17,5
South Region,IDEA College Prep South 3,10194,2024,16,15,17,16,21,7
South Region,IDEA College Prep South 3,10195,2024,14,16,12,17,14,4
South Region,IDEA College Prep South 3,10196,2024,16,15,16,16,19,5
South Region,IDEA College Prep South 3,10197,2024,20,20,25,23,20,6
South Region,IDEA College Prep South 3,10198,2024,16,16,19,14,22,5
South Region,IDEA College Prep South 3,10199,2024,17,20,16,15,17,5
South Region,IDEA College Prep South 3,10200,2024,23,24,25,23,25,6
South Region,IDEA College Prep South 3,10201,2024,18,17,23,17,20,5
South Region,IDEA College Prep South 3,10202,2024,17,15,17,21,19,6
South Region,IDEA College Prep South 3,10203,2024,14,15,18,12,17,5
South Region,IDEA College Prep South 3,10204,2024,13,12,16,15,13,5
South Region,IDEA College Prep South 3,10205,2024,22,24,20,26,21,5
South Region,IDEA College Prep South 3,10206,2024,18,17,17,22,21,6
South Region,IDEA College Prep South 3,10207,2024,15,14,16,15,17,5
South Region,IDEA College Prep South 3,10208,2024,23,20,23,25,24,6
South Region,IDEA College Prep South 3,10209,2024,21,21,19,22,23,5
South Region,IDEA College Prep South 3,10210,2024,14,12,15,13,17,4
South Region,IDEA College Prep South 3,10211,2024,20,17,24,19,26,7
South Region,IDEA College Prep South 3,10212,2024,14,14,16,14,16,5
South Region,IDEA College Prep South 3,10213,2024,15,13,16,16,16,4
South Region,IDEA College Prep South 3,10214,2024,28,33,27,29,25,6
South Region,IDEA College Prep South 3,10215,2024,16,18,18,17,17,6
South Region,IDEA College Prep South 3,10216,2024,19,18,18,19,22,5
South Region,IDEA College Prep South 3,10217,2024,22,23,21,23,23,7
South Region,IDEA College Prep South 3,10218,2024,20,24,19,18,21,6
South Region,IDEA College Prep South 3,10219,2024,17,17,16,20,19,6
South Region,IDEA College Prep South 3,10220,2024,17,19,20,21,18,6
South Region,IDEA College Prep South 3,10221,2024,14,13,14,13,18,3
South Region,IDEA College Prep South 3,10222,2024,15,16,16,16,17,6
South Region,IDEA College Prep South 3,10223,2024,18,20,16,19,19,5
South Region,IDEA College Prep South 3,10224,2024,17,16,18,18,20,6
South Region,IDEA College Prep South 3,10225,2024,20,20,23,19,24,5
South Region,IDEA College Prep South 4,10226,2024,22,24,17,34,23,6
South Region,IDEA College Prep South 4,10227,2024,15,14,18,18,18,6
South Region,IDEA College Prep South 4,10228,2024,20,22,21,18,25,6
South Region,IDEA College Prep South 4,10229,2024,22,21,24,24,21,6
South Region,IDEA College Prep South 4,10230,2024,17,19,16,18,18,6
South Region,IDEA College Prep South 4,10231,2024,16,16,17,19,17,6
South Region,IDEA College Prep South 4,10232,2024,21,22,24,22,23,6
South Region,IDEA College Prep South 4,10233,2024,17,18,17,22,16,5
South Region,IDEA College Prep South 4,10234,2024,25,25,23,29,24,7
South Region,IDEA College Prep South 4,10235,2024,17,15,16,16,20,6
South Region,IDEA College Prep South 4,10236,2024,20,20,18,22,24,6
South Region,IDEA College Prep South 4,10237,2024,16,20,16,18,18,6
South Region,IDEA College Prep South 4,10238,2024,17,17,19,16,19,6
South Region,IDEA College Prep South 4,10239,2024,17,21,15,21,17,6
South Region,IDEA College Prep South 4,10240,2024,19,22,18,21,19,6
South Region,IDEA College Prep South 4,10241,2024,13,13,14,12,16,6
South Region,IDEA College Prep South 4,10242,2024,14,12,16,14,17,5
South Region,IDEA College Prep South 4,10243,2024,17,17,18,16,20,4
South Region,IDEA College Prep South 4,10244,2024,23,26,21,21,23,6
South Region,IDEA College Prep South 4,10245,2024,24,24,22,29,23,6
South Region,IDEA College Prep South 4,10246,2024,21,18,20,24,23,6
South Region,IDEA College Prep South 4,10247,2024,17,14,16,18,18,2
South Region,IDEA College Prep South 4,10248,2024,15,15,16,16,16,6
South Region,IDEA College Prep South 4,10249,2024,16,15,17,19,18,6
South Region,IDEA College Prep South 4,10250,2024,15,13,15,16,18,5
South Region,IDEA College Prep South 4,10251,2024,18,22,15,20,19,5
South Region,IDEA College Prep South 4,10252,2024,33,34,31,36,32,7
South Region,IDEA College Prep South 4,10253,2024,17,21,18,16,17,6
South Region,IDEA College Prep South 4,10254,2024,14,11,13,12,18,1
South Region,IDEA College Prep South 4,10255,2024,16,14,17,18,19,6
South Region,IDEA College Prep South 4,10256,2024,22,20,27,19,23,7
South Region,IDEA College Prep South 4,10257,2024,0,0,0,0,0,0
South Region,IDEA College Prep South 4,10258,2024,26,30,21,34,25,6
South Region,IDEA College Prep South 4,10259,2024,21,22,20,24,21,6
South Region,IDEA College Prep South 4,10260,2024,21,24,21,22,23,5
South Region,IDEA College Prep South 4,10261,2024,21,22,22,25,24,6
South Region,IDEA College Prep South 4,10262,2024,22,21,23,22,23,6
South Region,IDEA College Prep South 4,10263,2024,17,20,16,19,20,6
South Region,IDEA College Prep South 4,10264,2024,16,14,16,17,17,4
South Region,IDEA College Prep South 4,10265,2024,17,17,18,15,21,6
South Region,IDEA College Prep South 4,10266,2024,20,22,22,20,24,6
South Region,IDEA College Prep South 4,10267,2024,16,14,18,19,17,2
South Region,IDEA College Prep South 4,10268,2024,20,23,16,30,20,6
South Region,IDEA College Prep South 4,10269,2024,24,25,22,24,23,6
South Region,IDEA College Prep South 4,10270,2024,20,21,19,22,23,6
South Region,IDEA College Prep South 4,10271,2024,16,15,22,17,16,6
South Region,IDEA College Prep South 4,10272,2024,20,19,24,17,22,6
South Region,IDEA College Prep South 4,10273,2024,28,34,24,34,24,6
South Region,IDEA College Prep South 4,10274,2024,19,19,19,21,22,3
South Region,IDEA College Prep South 4,10275,2024,19,22,17,21,23,6
South Region,IDEA College Prep South 4,10276,2024,14,14,16,12,19,6
South Region,IDEA College Prep South 4,10277,2024,21,21,24,19,23,6
South Region,IDEA College Prep South 4,10278,2024,20,22,19,21,21,7
South Region,IDEA College Prep South 4,10279,2024,17,16,20,19,20,6
South Region,IDEA College Prep South 4,10280,2024,28,32,25,30,25,6
South Region,IDEA College Prep South 4,10281,2024,22,22,22,21,22,5
South Region,IDEA College Prep South 4,10282,2024,26,27,26,30,30,6
South Region,IDEA College Prep South 4,10283,2024,15,15,16,20,16,6
South Region,IDEA College Prep South 4,10284,2024,21,24,20,25,20,6
South Region,IDEA College Prep South 4,10285,2024,21,23,20,22,21,6
South Region,IDEA College Prep South 4,10286,2024,18,15,18,17,23,6
South Region,IDEA College Prep South 4,10287,2024,17,16,16,20,19,5
South Region,IDEA College Prep South 4,10288,2024,15,15,16,15,17,6
South Region,IDEA College Prep South 4,10289,2024,17,16,18,20,18,6
South Region,IDEA College Prep South 4,10290,2024,22,21,24,21,25,6
South Region,IDEA College Prep South 4,10291,2024,25,23,24,30,26,6
South Region,IDEA College Prep South 4,10292,2024,17,17,17,17,19,6
South Region,IDEA College Prep South 4,10293,2024,17,20,16,16,17,1
South Region,IDEA College Prep South 4,10294,2024,25,23,23,31,25,6
South Region,IDEA College Prep South 4,10295,2024,12,11,14,15,12,2
South Region,IDEA College Prep South 4,10296,2024,17,16,16,19,18,6
South Region,IDEA College Prep South 4,10297,2024,16,16,16,19,18,6
South Region,IDEA College Prep South 4,10298,2024,21,19,18,26,20,1
South Region,IDEA College Prep South 4,10299,2024,18,15,17,17,21,6
South Region,IDEA College Prep South 4,10300,2024,18,20,17,20,21,6
South Region,IDEA College Prep South 4,10301,2024,22,25,18,27,21,7
South Region,IDEA College Prep South 4,10302,2024,14,13,16,14,17,6
South Region,IDEA College Prep South 4,10303,2024,17,16,16,17,19,6
South Region,IDEA College Prep South 4,10304,2024,20,23,17,21,21,6
South Region,IDEA College Prep South 4,10305,2024,22,22,18,29,22,7
South Region,IDEA College Prep South 4,10306,2024,30,29,27,35,30,6
South Region,IDEA College Prep South 4,10307,2024,24,28,24,30,24,7
South Region,IDEA College Prep South 5,10308,2024,17,20,16,16,20,5
South Region,IDEA College Prep South 5,10309,2024,16,13,15,19,21,4
South Region,IDEA College Prep South 5,10310,2024,22,24,18,24,21,1
South Region,IDEA College Prep South 5,10311,2024,27,28,23,30,27,6
South Region,IDEA College Prep South 5,10312,2024,19,15,16,21,23,3
South Region,IDEA College Prep South 5,10313,2024,20,22,17,21,21,4
South Region,IDEA College Prep South 5,10314,2024,24,24,26,25,25,6
South Region,IDEA College Prep South 5,10315,2024,21,24,23,26,20,5
South Region,IDEA College Prep South 5,10316,2024,25,29,23,31,24,8
South Region,IDEA College Prep South 5,10317,2024,24,23,24,26,24,2
South Region,IDEA College Prep South 5,10318,2024,15,14,16,18,19,4
South Region,IDEA College Prep South 5,10319,2024,12,11,14,13,14,4
South Region,IDEA College Prep South 5,10320,2024,20,20,18,23,24,6
South Region,IDEA College Prep South 5,10321,2024,15,14,15,17,17,2
South Region,IDEA College Prep South 5,10322,2024,14,13,15,14,18,5
South Region,IDEA College Prep South 5,10323,2024,17,15,15,19,18,4
South Region,IDEA College Prep South 5,10324,2024,14,14,15,15,16,5
South Region,IDEA College Prep South 5,10325,2024,19,20,18,20,21,6
South Region,IDEA College Prep South 5,10326,2024,17,16,16,22,19,5
South Region,IDEA College Prep South 5,10327,2024,13,13,15,14,16,5
South Region,IDEA College Prep South 5,10328,2024,16,15,16,18,18,4
South Region,IDEA College Prep South 5,10329,2024,13,12,15,15,15,5
South Region,IDEA College Prep South 5,10330,2024,20,17,24,21,22,6
South Region,IDEA College Prep South 5,10331,2024,15,15,15,14,16,5
South Region,IDEA College Prep South 5,10332,2024,15,19,16,15,16,5
South Region,IDEA College Prep South 5,10333,2024,17,20,17,20,17,4
South Region,IDEA College Prep South 5,10334,2024,15,15,15,16,18,4
South Region,IDEA College Prep South 5,10335,2024,14,13,15,15,16,4
South Region,IDEA College Prep South 5,10336,2024,23,23,23,26,23,5
South Region,IDEA College Prep South 5,10337,2024,22,21,19,29,21,7
South Region,IDEA College Prep South 5,10338,2024,13,14,15,13,13,3
South Region,IDEA College Prep South 5,10339,2024,24,27,23,23,25,6
South Region,IDEA College Prep South 5,10340,2024,14,13,16,17,16,4
South Region,IDEA College Prep South 5,10341,2024,12,10,14,13,14,3
South Region,IDEA College Prep South 5,10342,2024,17,16,16,18,19,5
South Region,IDEA College Prep South 5,10343,2024,19,19,17,21,23,4
South Region,IDEA College Prep South 5,10344,2024,19,19,17,21,22,5
South Region,IDEA College Prep South 5,10345,2024,22,21,26,21,22,7
South Region,IDEA College Prep South 5,10346,2024,13,10,15,14,19,5
South Region,IDEA College Prep South 5,10347,2024,18,17,18,21,20,5
South Region,IDEA College Prep South 5,10348,2024,17,19,16,18,18,4
South Region,IDEA College Prep South 5,10349,2024,18,18,20,20,20,5
South Region,IDEA College Prep South 5,10350,2024,25,27,22,28,24,4
South Region,IDEA College Prep South 5,10351,2024,18,15,17,21,21,5
South Region,IDEA College Prep South 5,10352,2024,17,16,16,20,18,5
South Region,IDEA College Prep South 5,10353,2024,16,15,15,15,21,4
South Region,IDEA College Prep South 5,10354,2024,19,19,16,22,20,5
South Region,IDEA College Prep South 5,10355,2024,20,19,20,24,23,6
South Region,IDEA College Prep South 5,10356,2024,19,17,18,19,21,5
South Region,IDEA College Prep South 5,10357,2024,13,12,15,14,16,5
South Region,IDEA College Prep South 5,10358,2024,17,13,18,18,20,2
South Region,IDEA College Prep South 5,10359,2024,14,11,15,15,17,4
South Region,IDEA College Prep South 5,10360,2024,14,12,15,13,15,4
South Region,IDEA College Prep South 5,10361,2024,18,17,18,20,19,5
South Region,IDEA College Prep South 5,10362,2024,25,27,24,31,26,5
South Region,IDEA College Prep South 5,10363,2024,17,15,17,20,22,4
South Region,IDEA College Prep South 5,10364,2024,17,16,17,20,20,4
South Region,IDEA College Prep South 5,10365,2024,19,20,16,22,19,5
South Region,IDEA College Prep South 5,10366,2024,15,15,17,20,13,5
South Region,IDEA College Prep South 5,10367,2024,14,13,15,14,15,3
South Region,IDEA College Prep South 5,10368,2024,18,17,17,21,18,3
South Region,IDEA College Prep South 5,10369,2024,16,16,16,18,18,5
South Region,IDEA College Prep South 5,10370,2024,24,25,21,28,26,4
South Region,IDEA College Prep South 5,10371,2024,14,14,16,13,18,4
South Region,IDEA College Prep South 5,10372,2024,20,20,16,21,23,2
South Region,IDEA College Prep South 5,10373,2024,13,10,16,13,17,3
South Region,IDEA College Prep South 5,10374,2024,29,30,28,34,34,5
South Region,IDEA College Prep South 5,10375,2024,21,25,20,27,23,6
South Region,IDEA College Prep South 5,10376,2024,20,22,22,18,24,6
South Region,IDEA College Prep South 5,10377,2024,17,19,16,18,18,4
South Region,IDEA College Prep South 5,10378,2024,16,14,19,13,19,2
South Region,IDEA College Prep South 5,10379,2024,14,13,15,16,16,5
South Region,IDEA College Prep South 5,10380,2024,14,12,14,15,16,2
South Region,IDEA College Prep South 5,10381,2024,25,26,18,33,24,2
South Region,IDEA College Prep South 5,10382,2024,24,23,25,27,24,2
South Region,IDEA College Prep South 5,10383,2024,22,21,19,27,27,6
South Region,IDEA College Prep South 5,10384,2024,25,24,27,26,26,8
South Region,IDEA College Prep South 5,10385,2024,17,19,16,18,19,6
South Region,IDEA College Prep South 5,10386,2024,16,13,16,22,18,5
South Region,IDEA College Prep South 5,10387,2024,24,26,20,26,26,7
South Region,IDEA College Prep South 5,10388,2024,17,19,16,18,21,6
South Region,IDEA College Prep South 5,10389,2024,13,13,16,13,15,5
South Region,IDEA College Prep South 5,10390,2024,18,16,18,19,26,5
South Region,IDEA College Prep South 5,10391,2024,16,13,16,19,14,3
South Region,IDEA College Prep South 5,10392,2024,18,21,18,16,21,5
South Region,IDEA College Prep South 5,10393,2024,24,26,25,25,25,7
South Region,IDEA College Prep South 5,10394,2024,16,17,15,17,18,5
South Region,IDEA College Prep South 6,10395,2024,20,19,19,20,21,5
South Region,IDEA College Prep South 6,10396,2024,12,10,16,14,11,3
South Region,IDEA College Prep South 6,10397,2024,18,18,19,13,21,1
South Region,IDEA College Prep South 6,10398,2024,24,15,26,27,27,6
South Region,IDEA College Prep South 6,10399,2024,14,15,14,17,15,3
South Region,IDEA College Prep South 6,10400,2024,18,19,17,19,20,5
South Region,IDEA College Prep South 6,10401,2024,26,23,26,26,28,4
South Region,IDEA College Prep South 6,10402,2024,23,22,24,26,23,5
South Region,IDEA College Prep South 6,10403,2024,15,14,15,16,19,5
South Region,IDEA College Prep South 6,10404,2024,23,22,27,23,24,6
South Region,IDEA College Prep South 6,10405,2024,16,19,16,14,20,4
South Region,IDEA College Prep South 6,10406,2024,19,21,19,21,21,4
South Region,IDEA College Prep South 6,10407,2024,18,19,17,18,21,6
